143 1734193694 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193695 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193696 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193697 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193698 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193699 1,000000 -1,000000 -101,000000 0,000000 0,000000
143 1734193700 1,000000 -1,000000 -101,000000 0,000000 0,000000
143 1734193701 1,000000 -1,000000 -101,000000 0,000000 0,000000
143 1734193702 1,000000 -1,000000 -101,000000 0,000000 0,000000
143 1734193703 1,000000 -1,000000 -101,000000 0,000000 0,000000
143 1734193714 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193715 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193716 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193717 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193718 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193734 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193735 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193736 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193737 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193738 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193774 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1734193775 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1734193776 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1734193777 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1734193778 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1734193809 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193810 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193811 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193812 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193813 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193844 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193845 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193846 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193847 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193848 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193854 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193855 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193856 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193857 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193858 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193859 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193860 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193861 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193862 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193863 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193879 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193880 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193881 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193882 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193883 0,400000 -1,000000 -101,000000 0,000000 0,000000
143 1734193894 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1734193895 0,200000 -1,000000 -101,000000 0,000000 0,000000
