139 1734193694 42185,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193695 42185,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193696 42185,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193697 42185,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193698 42185,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193699 34703,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193700 34703,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193701 34703,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193702 34703,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193703 34703,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193704 27019,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193705 27019,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193706 27019,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193707 27019,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193708 27019,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193709 5581,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193710 5581,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193711 5581,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193712 5581,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193713 5581,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193714 4852,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193715 4852,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193716 4852,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193717 4852,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193718 4852,600000 -1,000000 -101,000000 0,000000 0,000000
139 1734193719 18083,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193720 18083,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193721 18083,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193722 18083,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193723 18083,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193724 18458,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193725 18458,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193726 18458,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193727 18458,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193728 18458,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193729 6116,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193730 6116,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193731 6116,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193732 6116,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193733 6116,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193739 1857,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193740 1857,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193741 1857,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193742 1857,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193743 1857,000000 -1,000000 -101,000000 0,000000 0,000000
139 1734193744 556,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193745 556,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193746 556,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193747 556,200000 -1,000000 -101,000000 0,000000 0,000000
139 1734193748 556,200000 -1,000000 -101,000000 0,000000 0,000000
